POLNR;GEVO;DATUM
7000003;ERH;01.01.2016
7000004;ERH;01.01.2016
7000008;ERH;01.01.2016
7000010;ERH;01.01.2016
7000018;ERH;01.01.2016
7000019;ERH;01.01.2016
7000020;ERH;01.01.2016
7000023;ERH;01.01.2016
7000027;ERH;01.01.2016
7000028;PEX;01.01.2016
7000030;ERH;01.01.2016
7000031;ERH;01.01.2016
7000033;ERH;01.01.2016
7000034;ERH;01.01.2016
7000035;ERH;01.01.2016
7000036;ERH;01.01.2016
7000037;ERH;01.01.2016
7000047;PEX;01.02.2016
7000049;ERH;01.02.2016
7000050;ERH;01.02.2016
7000052;ERH;01.02.2016
7000053;ERH;01.02.2016
7000054;ERH;01.02.2016
7000055;ERH;01.02.2016
7000057;ERH;01.02.2016
7000061;ERH;01.02.2016
7000063;ERH;01.02.2016
7000068;ERH;01.02.2016
7000073;ERH;01.02.2016
7000078;ERH;01.02.2016
7000079;ERH;01.02.2016
7000081;ERH;01.03.2016
7000083;ERH;01.03.2016
7000084;ERH;01.03.2016
7000088;ERH;01.03.2016
7000097;ERH;01.03.2016
7000098;ERH;01.03.2016
7000100;ERH;01.03.2016
7000102;ERH;01.03.2016
7000105;ERH;01.03.2016
7000106;ERH;01.03.2016
7000107;ERH;01.03.2016
7000111;ERH;01.03.2016
7000112;ERH;01.03.2016
7000116;ERH;01.04.2016
7000118;ERH;01.04.2016
7000121;ERH;01.04.2016
7000122;ERH;01.04.2016
7000124;ERH;01.04.2016
7000128;PEX;01.04.2016
7000130;ERH;01.04.2016
7000138;ERH;01.04.2016
7000140;ERH;01.04.2016
7000141;ERH;01.04.2016
7000142;ERH;01.04.2016
7000143;ERH;01.04.2016
7000144;ERH;01.04.2016
7000145;ERH;01.04.2016
7000151;ERH;01.04.2016
7000154;ERH;01.04.2016
7000156;ERH;01.04.2016
7000158;ERH;01.05.2016
7000159;ERH;01.05.2016
7000163;ERH;01.05.2016
7000164;ERH;01.05.2016
7000167;RED;01.05.2016
7000168;PEX;01.05.2016
7000170;ERH;01.05.2016
7000173;ERH;01.05.2016
7000174;RED;01.05.2016
7000175;ERH;01.05.2016
7000176;ERH;01.05.2016
7000178;ERH;01.05.2016
7000180;ERH;01.05.2016
7000182;ERH;01.05.2016
7000183;ERH;01.05.2016
7000185;ERH;01.05.2016
7000186;ERH;01.05.2016
7000188;ERH;01.05.2016
7000190;ERH;01.05.2016
7000195;ERH;01.05.2016
7000198;ERH;01.05.2016
7000205;ERH;01.06.2016
7000208;ERH;01.06.2016
7000209;ERH;01.06.2016
7000210;ERH;01.06.2016
7000212;ERH;01.06.2016
7000219;ERH;01.06.2016
7000220;ERH;01.06.2016
7000228;ERH;01.06.2016
7000229;ERH;01.06.2016
7000232;ERH;01.06.2016
7000234;ERH;01.06.2016
7000235;ERH;01.06.2016
7000244;ERH;01.07.2016
7000253;ERH;01.07.2016
7000259;ERH;01.07.2016
7000264;ERH;01.07.2016
7000266;ERH;01.07.2016
7000268;ERH;01.07.2016
7000273;RED;01.07.2016
7000286;ERH;01.08.2016
7000288;ERH;01.08.2016
7000290;ERH;01.08.2016
7000297;ERH;01.08.2016
7000302;ERH;01.08.2016
7000305;ERH;01.08.2016
7000307;ERH;01.08.2016
7000310;ERH;01.08.2016
7000311;ERH;01.08.2016
7000312;ERH;01.08.2016
7000314;ERH;01.08.2016
7000319;ERH;01.08.2016
7000321;ERH;01.09.2016
7000323;ERH;01.09.2016
7000324;ERH;01.09.2016
7000325;ERH;01.09.2016
7000329;ERH;01.09.2016
7000331;ERH;01.09.2016
7000335;ERH;01.09.2016
7000336;RED;01.09.2016
7000341;ERH;01.09.2016
7000343;ERH;01.09.2016
7000345;ERH;01.09.2016
7000347;ERH;01.09.2016
7000349;ERH;01.09.2016
7000352;ERH;01.09.2016
7000353;ERH;01.09.2016
7000356;ERH;01.09.2016
7000357;ERH;01.09.2016
7000365;ERH;01.10.2016
7000367;ERH;01.10.2016
7000370;ERH;01.10.2016
7000372;PEX;01.10.2016
7000373;ERH;01.10.2016
