POLNR;GEVO;DATUM;BETRAG;PARAM
7000042;ERH;01.02.2026;8372.25;
7000044;PEX;01.02.2026;27439.18;
7000048;STO;01.02.2026;87067.71;
7000049;RED;01.02.2026;8141.91;0.75
7000052;RED;01.02.2026;32275.55;0.5
7000068;ERH;01.02.2026;14138.01;
7000073;ERH;01.02.2026;3767.51;
7000081;ERH;01.03.2026;6499.46;
7000084;ERH;01.03.2026;3236.33;
7000096;ERH;01.03.2026;3318.33;
7000098;ERH;01.03.2026;3250.40;
7000099;RED;01.03.2026;9438.36;0.6
7000100;ERH;01.03.2026;4958.35;
7000105;ERH;01.03.2026;11007.04;
7000111;ERH;01.03.2026;4080.59;
7000112;ERH;01.03.2026;1477.46;
7000121;ERH;01.04.2026;4949.48;
7000122;RED;01.04.2026;11091.05;0.75
7000124;ERH;01.04.2026;8273.75;
7000140;ERH;01.04.2026;1608.12;
7000143;STO;01.04.2026;40885.01;
7000144;ERH;01.04.2026;6683.73;
7000145;STO;01.04.2026;41019.57;
7000151;ERH;01.04.2026;4580.11;
7000156;ERH;01.04.2026;2482.13;
7000165;ERH;01.05.2026;5688.20;
7000166;ERH;01.05.2026;4623.33;
7000188;ERH;01.05.2026;3082.22;
7000189;ERH;01.05.2026;3800.75;
7000194;ERH;01.05.2026;4210.75;
7000195;ERH;01.05.2026;5392.71;
7000198;STO;01.05.2026;61378.86;
7000206;ERH;01.06.2026;3350.24;
7000207;ERH;01.06.2026;2144.15;
7000212;ERH;01.06.2026;5206.27;
7000220;ERH;01.06.2026;3412.92;
7000224;ERH;01.06.2026;7017.91;
7000228;ERH;01.06.2026;4891.35;
7000240;ERH;01.06.2026;3886.28;
7000244;ERH;01.07.2026;2546.18;
7000248;ERH;01.07.2026;4381.30;
7000266;ERH;01.07.2026;3165.98;
7000277;ERH;01.08.2026;2816.75;
7000278;ERH;01.08.2026;5839.47;
7000281;ERH;01.08.2026;2674.11;
7000287;ERH;01.08.2026;2948.21;
7000297;ERH;01.08.2026;4033.45;
7000302;RED;01.08.2026;4650.62;0.6
7000310;ERH;01.08.2026;4422.32;
