POLNR;GEVO;DATUM
7000001;PEX;01.02.2022
7000003;ERH;01.01.2018
7000004;PEX;01.09.2020
7000006;ERH;01.09.2023
7000007;ERH;01.03.2019
7000008;PEX;01.12.2022
7000012;ERH;01.09.2017
7000022;PEX;01.02.2018
7000023;PEX;01.02.2020
7000024;RED;01.12.2021
7000027;PEX;01.08.2021
7000028;ERH;01.11.2021
7000029;ERH;01.12.2018
7000032;PEX;01.10.2023
7000034;RED;01.07.2021
7000035;ERH;01.09.2018
7000038;ERH;01.02.2022
7000041;PEX;01.07.2020
7000043;PEX;01.03.2020
7000044;RED;01.08.2017
7000047;RED;01.09.2020
7000050;ERH;01.06.2022
7000051;RED;01.02.2021
7000057;PEX;01.09.2018
7000077;PEX;01.04.2021
7000078;RED;01.02.2021
7000083;PEX;01.10.2017
7000086;PEX;01.05.2020
7000088;RED;01.05.2018
7000092;PEX;01.01.2022
7000095;ERH;01.12.2020
7000097;PEX;01.05.2019
7000098;RED;01.10.2022
7000100;PEX;01.11.2022
7000104;RED;01.11.2023
7000106;ERH;01.08.2021
7000107;PEX;01.10.2018
7000116;PEX;01.08.2017
7000120;PEX;01.12.2018
7000132;PEX;01.05.2019
7000133;RED;01.09.2017
7000137;ERH;01.05.2019
7000138;PEX;01.03.2018
7000140;ERH;01.04.2020
7000147;ERH;01.07.2021
7000149;ERH;01.06.2019
7000151;ERH;01.11.2019
7000153;RED;01.02.2021
7000155;ERH;01.04.2022
7000156;ERH;01.01.2018
7000161;RED;01.02.2020
7000166;ERH;01.03.2023
7000169;ERH;01.07.2021
7000173;ERH;01.05.2023
7000178;ERH;01.09.2023
7000179;ERH;01.01.2021
7000180;ERH;01.08.2019
7000184;PEX;01.10.2021
7000185;ERH;01.08.2018
7000188;ERH;01.01.2020
7000191;ERH;01.05.2020
7000195;ERH;01.07.2020
7000196;PEX;01.08.2019
7000200;ERH;01.08.2023
7000201;PEX;01.10.2021
7000203;ERH;01.12.2021
7000204;ERH;01.12.2021
7000205;ERH;01.01.2023
7000209;ERH;01.09.2020
7000215;PEX;01.02.2020
7000221;PEX;01.08.2021
7000223;PEX;01.07.2021
7000224;ERH;01.03.2019
7000225;ERH;01.11.2023
7000234;ERH;01.06.2021
7000246;ERH;01.03.2021
7000250;RED;01.08.2023
7000254;RED;01.10.2022
7000257;PEX;01.12.2023
7000259;ERH;01.04.2018
7000260;ERH;01.09.2020
7000261;ERH;01.11.2018
7000265;ERH;01.07.2018
7000269;ERH;01.05.2020
7000280;ERH;01.04.2019
7000282;ERH;01.09.2021
7000291;PEX;01.08.2018
7000296;ERH;01.02.2019
7000300;ERH;01.03.2020
7000301;PEX;01.03.2023
7000307;RED;01.01.2022
7000311;RED;01.05.2023
7000312;RED;01.05.2018
7000316;ERH;01.01.2018
7000317;ERH;01.03.2021
7000319;ERH;01.08.2020
7000325;ERH;01.08.2017
7000327;RED;01.04.2018
7000332;ERH;01.08.2019
7000333;ERH;01.01.2017
7000335;ERH;01.08.2023
7000342;RED;01.05.2019
7000343;ERH;01.12.2020
7000345;PEX;01.12.2023
7000351;ERH;01.06.2021
7000354;PEX;01.03.2017
7000355;ERH;01.10.2020
7000356;ERH;01.06.2022
7000359;ERH;01.08.2021
7000360;ERH;01.02.2022
7000362;ERH;01.01.2022
7000364;ERH;01.01.2019
7000365;RED;01.11.2023
7000367;RED;01.11.2018
7000369;ERH;01.05.2018
7000372;PEX;01.10.2019
7000373;RED;01.04.2021
7000374;ERH;01.10.2020
7000375;ERH;01.06.2022
7000376;ERH;01.05.2017
7000377;RED;01.01.2019
7000379;RED;01.09.2018
7000392;RED;01.03.2022
7000398;RED;01.01.2021
7000402;RED;01.04.2019
7000406;PEX;01.05.2020
7000415;ERH;01.09.2022
7000419;ERH;01.01.2021
7000425;PEX;01.09.2019
7000426;ERH;01.11.2021
7000427;ERH;01.06.2022
7000429;ERH;01.02.2018
7000430;ERH;01.07.2019
7000432;ERH;01.11.2023
7000433;ERH;01.12.2022
7000439;ERH;01.04.2017
7000440;ERH;01.10.2017
7000441;RED;01.10.2023
7000442;RED;01.01.2018
7000444;ERH;01.01.2022
7000447;ERH;01.02.2023
7000448;RED;01.10.2020
7000450;PEX;01.04.2019
7000451;PEX;01.06.2019
7000455;ERH;01.03.2018
7000458;RED;01.02.2017
7000462;ERH;01.10.2021
7000463;ERH;01.12.2019
7000466;ERH;01.12.2022
7000467;ERH;01.09.2020
7000468;ERH;01.12.2021
7000472;RED;01.07.2020
7000473;RED;01.05.2020
7000475;RED;01.02.2019
7000476;ERH;01.02.2020
7000478;PEX;01.05.2018
7000481;ERH;01.01.2020
7000482;RED;01.08.2018
7000485;ERH;01.08.2018
7000486;ERH;01.10.2022
7000488;PEX;01.07.2018
7000490;ERH;01.03.2022
7000493;ERH;01.08.2019
7000497;ERH;01.03.2020
7000500;PEX;01.01.2019
